Country Name,Country Code,Series Name,Series Code,1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Barbados,BRB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,304.309780561682,..,..,..,..,298.303763519167,..,..,..,..,292.586937499262,..,..,..,..,287.045967584834,..,..,..,..,281.98999715141,..,..,..,..,279.496480831295,279.095723597058,..,..,..
Belarus,BLR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.65529411764706,..,..,..,..,5.24882352941176,..,..,..,..,4.83176470588235,..,..,..,..,4.48627450970588,..,..,..,..,4.10882352941177,..,..,..,..
Belarus,BLR,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3327.95965729846,..,..,..,..,3360.53621506562,..,..,..,..,3446.33668601075,..,..,..,..,3556.13085850333,..,..,..,..,3599.08862607544,..,..,..,..,3594.46448240927,3602.15854053249,..,..,..
Belgium,BEL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,74.3881666666667,..,..,..,..,72.2231666666667,..,..,..,..,70.0581666666667,..,..,..,..,64.0833333333333,..,..,..,..,56.1308333333333,..,..,..,..,51.7833333333333,..,..,..,..,44.1666666666667,..,..,..,..,33.2833333333333,..,..,..,..
Belgium,BEL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1194.60540093048,..,..,..,..,1178.63777956429,..,..,..,..,1161.35194915988,..,..,..,..,1129.33736130326,..,..,..,..,1080.40636244104,..,..,..,..,1054.93040184585,1050.13943226312,..,..,..
Belize,BLZ,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.131061598951507,..,..,..,..,0.232277279161206,..,..,..,..,0.492299051114024,..,..,..,..,0.661861074705111,..,..,..,..,0.661861074705111,..,..,..,..,0.661861074705111,..,..,..,..,0.661861074705111,..,..,..,..
Belize,BLZ,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,78528.6440629145,..,..,..,..,68870.5866134799,..,..,..,..,58158.3699988254,..,..,..,..,51031.4991719313,..,..,..,..,45147.7960978867,..,..,..,..,40609.4078341609,39835.9579004461,..,..,..
Benin,BEN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.16150485436893,..,..,..,..,1.39575242718447,..,..,..,..,1.39216366116505,..,..,..,..,1.2621359223301,..,..,..,..,1.2621359223301,..,..,..,..,1.2621359223301,..,..,..,..,1.2621359223301,..,..,..,..
Benin,BEN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1931.80361823714,..,..,..,..,1639.69817307936,..,..,..,..,1411.84858825217,..,..,..,..,1218.24435506203,..,..,..,..,1058.66289344845,..,..,..,..,921.684405130122,896.819225255726,..,..,..
Bermuda,BMU,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bermuda,BMU,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,BTN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.433205128205128,..,..,..,..,0.433205128205128,..,..,..,..
Bhutan,BTN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,177727.889247463,..,..,..,..,146815.463837176,..,..,..,..,131488.170122966,..,..,..,..,117315.637723295,..,..,..,..,111177.310706375,..,..,..,..,104618.925563634,103393.973456911,..,..,..
Bolivia,BOL,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.408566721581549,..,..,..,..,0.506477459934102,..,..,..,..,0.604388198286656,..,..,..,..,0.658449403426689,..,..,..,..,0.683277586392092,..,..,..,..,0.687973640856672,..,..,..,..,0.687973640856672,..,..,..,..
Bolivia,BOL,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42382.8400748116,..,..,..,..,38236.4468803784,..,..,..,..,34714.1918250194,..,..,..,..,31752.0498642142,..,..,..,..,29245.4660132513,..,..,..,..,27115.5173752394,26732.6924533653,..,..,..
Bosnia and Herzegovina,BIH,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.05774647887324,..,..,..,..,1.09746478873239,..,..,..,..,1.23295774647887,..,..,..,..,1.12929577464789,..,..,..,..
Bosnia and Herzegovina,BIH,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8385.15397859022,..,..,..,..,9501.96329297899,..,..,..,..,9443.02385307825,..,..,..,..,9434.48626298936,..,..,..,..,9847.51060479804,..,..,..,..,10592.1646625098,10680.1318560053,..,..,..
Botswana,BWA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.02333333333333,..,..,..,..,4.70833333333333,..,..,..,..,6.81833333333333,..,..,..,..,8.10757575833333,..,..,..,..,8.16818181666667,..,..,..,..,8.1,..,..,..,..,8.04166666666667,..,..,..,..
Botswana,BWA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1760.12316121586,..,..,..,..,1558.01266103841,..,..,..,..,1407.92444102025,..,..,..,..,1279.68746587097,..,..,..,..,1176.72963086848,..,..,..,..,1088.39790345885,1064.74212850258,..,..,..
Brazil,BRA,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.61897191308956,..,..,..,..,0.813578284167108,..,..,..,..,0.974209503621268,..,..,..,..,1.00247306129659,..,..,..,..,1.0990990990991,..,..,..,..,1.23406641936054,..,..,..,..,1.16021904257198,..,..,..,..
Brazil,BRA,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36697.929983928,..,..,..,..,33855.8238051307,..,..,..,..,31531.0131576228,..,..,..,..,29774.2952213676,..,..,..,..,28406.2267251843,..,..,..,..,27238.1071752878,27025.43742444,..,..,..
British Virgin Islands,VGB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
British Virgin Islands,VGB,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.956862744705882,..,..,..,..,1.08235294117647,..,..,..,..,1.08235294117647,..,..,..,..,1.08235294117647,..,..,..,..,1.08235294117647,..,..,..,..,1.08235294117647,..,..,..,..
Brunei Darussalam,BRN,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31034.5834793784,..,..,..,..,27246.9082772902,..,..,..,..,24511.4295354075,..,..,..,..,22668.6615088794,..,..,..,..,21303.418321441,..,..,..,..,20024.4533913179,19815.3674002238,..,..,..
