

"Area","Area Id","Variable Name","Variable Id","Year","Value","Symbol","Md","0"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,1997,5.2739636364,"E","","0"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,2002,6.0436060606,"E","","0"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,2007,6.9268030303,"E","","0"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,2012,7.8,"E","","0"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,2017,9.802,"","","6909"
"DZA|Algeria",12,"Total freshwater withdrawal",4263,2018,9.802,"I","","0"
"AGO|Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,1987,76.0416666667,"E","","0"
"AGO|Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,1992,56.3720269791,"E","","0"
"AGO|Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,1997,40.7265774379,"E","","0"
"AGO|Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,2002,27.7039392757,"E","","0"
"AGO|Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,2007,20.7849249079,"I","","0"
"AGO|Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,2012,20.7849249079,"I","","0"
"AGO|Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,2017,20.7849249079,"I","","0"
"AGO|Angola",24,"Agricultural water withdrawal as % of total water withdrawal",4254,2018,20.7849249079,"I","","0"
"AGO|Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,1987,10.0,"E","","0"
"AGO|Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,1992,18.5516506922,"E","","0"
"AGO|Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,1997,25.3537284895,"E","","0"
"AGO|Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,2002,30.9831688218,"E","","0"
"AGO|Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,2007,33.9472938509,"I","","0"
"AGO|Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,2012,33.9472938509,"I","","0"
"AGO|Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,2017,33.9472938509,"I","","0"
"AGO|Angola",24,"Industrial water withdrawal as % of total water withdrawal",4256,2018,33.9472938509,"I","","0"
"AGO|Angola",24,"Municipal water withdrawal as % of total withdrawal",4255,1987,13.9583333333,"E","","0"
